#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.334060 (z=1.993474)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.334060 (z=1.993474) stellar mass
#vmpeak range: 1.78333 - 1.95
#HM    Stats: 3.577940e+10 (median) + 1.413240e+10  / - 1.185290e+10
#SM    Stats: 3.302950e+07 (median) + 2.651690e+07  / - 1.860390e+07
#ObsSM Stats: 3.447160e+07 (median) + 3.814600e+07  / - 2.151240e+07
#VMP   Stats: 8.435000e+01 (median) + 3.459999e+00  / - 4.779999e+00
#ICL   Stats: 1.015510e+05 (median) + 2.562519e+06  / - 1.015510e+05
#SSFR  Stats: 3.372572e-12 (median) + 2.951315e-12  / - 1.640527e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 155
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 155
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 155
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 155
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 155
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 155
sfh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 155
sfh 0.073623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 155
sfh 0.075873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 155
sfh 0.078123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 155
sfh 0.080373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 155
sfh 0.082623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 155
sfh 0.085998 0 0 0 #avg: 1.14045e-11; avg_err: 8.6062e-12; sd: 1.068e-10; counts: 155
sfh 0.089373 0 0 0 #avg: 1.2751e-11; avg_err: 7.06351e-12; sd: 8.76558e-11; counts: 155
sfh 0.092748 0 0 0 #avg: 3.59624e-11; avg_err: 1.83936e-11; sd: 2.28258e-10; counts: 155
sfh 0.096123 0 0 0 #avg: 5.78432e-11; avg_err: 1.7466e-11; sd: 2.16747e-10; counts: 155
sfh 0.099498 0 9.42684e-11 0 #avg: 9.90889e-11; avg_err: 2.38648e-11; sd: 2.96155e-10; counts: 155
